"","features","fold"
"126","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","3"
"127","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","3"
"128","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","3"
"129","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","3"
"130","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","3"
"131","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","3"
"132","loudness_sma3_amean","3"
"133","loudness_sma3_stddevNorm","3"
"134","loudness_sma3_percentile20.0","3"
"135","loudness_sma3_percentile80.0","3"
"136","loudness_sma3_pctlrange0-2","3"
"137","loudness_sma3_meanRisingSlope","3"
"138","loudness_sma3_stddevRisingSlope","3"
"139","loudness_sma3_meanFallingSlope","3"
"140","loudness_sma3_stddevFallingSlope","3"
"141","spectralFlux_sma3_amean","3"
"142","spectralFlux_sma3_stddevNorm","3"
"143","mfcc1_sma3_amean","3"
"144","mfcc1_sma3_stddevNorm","3"
"145","mfcc2_sma3_amean","3"
"146","mfcc2_sma3_stddevNorm","3"
"147","mfcc3_sma3_amean","3"
"148","mfcc3_sma3_stddevNorm","3"
"149","mfcc4_sma3_amean","3"
"150","jitterLocal_sma3nz_amean","3"
"151","jitterLocal_sma3nz_stddevNorm","3"
"152","shimmerLocaldB_sma3nz_amean","3"
"153","shimmerLocaldB_sma3nz_stddevNorm","3"
"154","HNRdBACF_sma3nz_amean","3"
"155","HNRdBACF_sma3nz_stddevNorm","3"
"156","logRelF0-H1-H2_sma3nz_amean","3"
"157","logRelF0-H1-H2_sma3nz_stddevNorm","3"
"158","logRelF0-H1-A3_sma3nz_amean","3"
"159","logRelF0-H1-A3_sma3nz_stddevNorm","3"
"160","F1frequency_sma3nz_stddevNorm","3"
"161","F1bandwidth_sma3nz_amean","3"
"162","F1bandwidth_sma3nz_stddevNorm","3"
"163","F1amplitudeLogRelF0_sma3nz_amean","3"
"164","F2frequency_sma3nz_stddevNorm","3"
"165","F2bandwidth_sma3nz_amean","3"
"166","F2bandwidth_sma3nz_stddevNorm","3"
"167","F2amplitudeLogRelF0_sma3nz_amean","3"
"168","F3frequency_sma3nz_stddevNorm","3"
"169","F3bandwidth_sma3nz_amean","3"
"170","F3bandwidth_sma3nz_stddevNorm","3"
"171","F3amplitudeLogRelF0_sma3nz_amean","3"
"172","F3amplitudeLogRelF0_sma3nz_stddevNorm","3"
"173","alphaRatioV_sma3nz_amean","3"
"174","alphaRatioV_sma3nz_stddevNorm","3"
"175","hammarbergIndexV_sma3nz_amean","3"
"176","hammarbergIndexV_sma3nz_stddevNorm","3"
"177","slopeV0-500_sma3nz_amean","3"
"178","slopeV0-500_sma3nz_stddevNorm","3"
"179","slopeV500-1500_sma3nz_amean","3"
"180","spectralFluxV_sma3nz_amean","3"
"181","spectralFluxV_sma3nz_stddevNorm","3"
"182","mfcc1V_sma3nz_amean","3"
"183","mfcc1V_sma3nz_stddevNorm","3"
"184","mfcc2V_sma3nz_amean","3"
"185","mfcc3V_sma3nz_amean","3"
"186","mfcc3V_sma3nz_stddevNorm","3"
"187","mfcc4V_sma3nz_amean","3"
"188","alphaRatioUV_sma3nz_amean","3"
"189","hammarbergIndexUV_sma3nz_amean","3"
"190","slopeUV0-500_sma3nz_amean","3"
"191","slopeUV500-1500_sma3nz_amean","3"
"192","spectralFluxUV_sma3nz_amean","3"
"193","loudnessPeaksPerSec","3"
"194","MeanVoicedSegmentLengthSec","3"
"195","StddevVoicedSegmentLengthSec","3"
"196","MeanUnvoicedSegmentLength","3"
"197","equivalentSoundLevel_dBp","3"
"198","F0semitoneFrom27.5Hz_sma3nz_amean","4"
"199","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","4"
"200","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","4"
"201","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","4"
"202","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","4"
"203","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","4"
"204","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","4"
"205","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","4"
"206","loudness_sma3_amean","4"
"207","loudness_sma3_percentile20.0","4"
"208","loudness_sma3_percentile50.0","4"
"209","loudness_sma3_percentile80.0","4"
"210","loudness_sma3_meanRisingSlope","4"
"211","loudness_sma3_meanFallingSlope","4"
"212","spectralFlux_sma3_amean","4"
"213","spectralFlux_sma3_stddevNorm","4"
"214","mfcc1_sma3_amean","4"
"215","mfcc1_sma3_stddevNorm","4"
"216","mfcc2_sma3_amean","4"
"217","mfcc2_sma3_stddevNorm","4"
"218","mfcc3_sma3_amean","4"
"219","mfcc3_sma3_stddevNorm","4"
"220","mfcc4_sma3_amean","4"
"221","jitterLocal_sma3nz_amean","4"
"222","jitterLocal_sma3nz_stddevNorm","4"
"223","shimmerLocaldB_sma3nz_stddevNorm","4"
"224","HNRdBACF_sma3nz_amean","4"
"225","logRelF0-H1-H2_sma3nz_amean","4"
"226","logRelF0-H1-H2_sma3nz_stddevNorm","4"
"227","logRelF0-H1-A3_sma3nz_amean","4"
"228","logRelF0-H1-A3_sma3nz_stddevNorm","4"
"229","F1frequency_sma3nz_stddevNorm","4"
"230","F1amplitudeLogRelF0_sma3nz_amean","4"
"231","F1amplitudeLogRelF0_sma3nz_stddevNorm","4"
"232","F2frequency_sma3nz_stddevNorm","4"
"233","F2bandwidth_sma3nz_amean","4"
"234","F2bandwidth_sma3nz_stddevNorm","4"
"235","F2amplitudeLogRelF0_sma3nz_amean","4"
"236","F2amplitudeLogRelF0_sma3nz_stddevNorm","4"
"237","F3frequency_sma3nz_stddevNorm","4"
"238","F3bandwidth_sma3nz_amean","4"
"239","F3amplitudeLogRelF0_sma3nz_amean","4"
"240","F3amplitudeLogRelF0_sma3nz_stddevNorm","4"
"241","alphaRatioV_sma3nz_amean","4"
"242","alphaRatioV_sma3nz_stddevNorm","4"
"243","hammarbergIndexV_sma3nz_amean","4"
"244","hammarbergIndexV_sma3nz_stddevNorm","4"
"245","slopeV0-500_sma3nz_amean","4"
"246","slopeV500-1500_sma3nz_amean","4"
"247","spectralFluxV_sma3nz_amean","4"
"248","mfcc1V_sma3nz_amean","4"
"249","mfcc1V_sma3nz_stddevNorm","4"
"250","mfcc2V_sma3nz_amean","4"
"251","mfcc4V_sma3nz_amean","4"
"252","alphaRatioUV_sma3nz_amean","4"
"253","hammarbergIndexUV_sma3nz_amean","4"
"254","slopeUV0-500_sma3nz_amean","4"
"255","spectralFluxUV_sma3nz_amean","4"
"256","loudnessPeaksPerSec","4"
"257","VoicedSegmentsPerSec","4"
"258","MeanVoicedSegmentLengthSec","4"
"259","StddevVoicedSegmentLengthSec","4"
"260","MeanUnvoicedSegmentLength","4"
"261","StddevUnvoicedSegmentLength","4"
"262","equivalentSoundLevel_dBp","4"
"263","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","5"
"264","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","5"
"265","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","5"
"266","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","5"
"267","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","5"
"268","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","5"
"269","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","5"
"270","loudness_sma3_stddevNorm","5"
"271","loudness_sma3_percentile20.0","5"
"272","loudness_sma3_pctlrange0-2","5"
"273","loudness_sma3_meanRisingSlope","5"
"274","loudness_sma3_stddevRisingSlope","5"
"275","loudness_sma3_meanFallingSlope","5"
"276","loudness_sma3_stddevFallingSlope","5"
"277","spectralFlux_sma3_amean","5"
"278","spectralFlux_sma3_stddevNorm","5"
"279","mfcc1_sma3_amean","5"
"280","mfcc1_sma3_stddevNorm","5"
"281","mfcc2_sma3_amean","5"
"282","mfcc2_sma3_stddevNorm","5"
"283","mfcc3_sma3_amean","5"
"284","mfcc3_sma3_stddevNorm","5"
"285","mfcc4_sma3_amean","5"
"286","jitterLocal_sma3nz_amean","5"
"287","jitterLocal_sma3nz_stddevNorm","5"
"288","shimmerLocaldB_sma3nz_amean","5"
"289","shimmerLocaldB_sma3nz_stddevNorm","5"
"290","HNRdBACF_sma3nz_amean","5"
"291","HNRdBACF_sma3nz_stddevNorm","5"
"292","logRelF0-H1-H2_sma3nz_amean","5"
"293","logRelF0-H1-H2_sma3nz_stddevNorm","5"
"294","logRelF0-H1-A3_sma3nz_stddevNorm","5"
"295","F1frequency_sma3nz_stddevNorm","5"
"296","F1bandwidth_sma3nz_amean","5"
"297","F1bandwidth_sma3nz_stddevNorm","5"
"298","F1amplitudeLogRelF0_sma3nz_amean","5"
"299","F2frequency_sma3nz_stddevNorm","5"
"300","F2bandwidth_sma3nz_amean","5"
"301","F2bandwidth_sma3nz_stddevNorm","5"
"302","F2amplitudeLogRelF0_sma3nz_amean","5"
"303","F3frequency_sma3nz_stddevNorm","5"
"304","F3bandwidth_sma3nz_amean","5"
