"","features","fold"
"126","MeanVoicedSegmentLengthSec","2"
"127","StddevVoicedSegmentLengthSec","2"
"128","MeanUnvoicedSegmentLength","2"
"129","StddevUnvoicedSegmentLength","2"
"130","equivalentSoundLevel_dBp","2"
"131","F0semitoneFrom27.5Hz_sma3nz_amean","3"
"132","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","3"
"133","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","3"
"134","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","3"
"135","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","3"
"136","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","3"
"137","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","3"
"138","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","3"
"139","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","3"
"140","loudness_sma3_amean","3"
"141","loudness_sma3_stddevNorm","3"
"142","loudness_sma3_percentile20.0","3"
"143","loudness_sma3_percentile50.0","3"
"144","loudness_sma3_percentile80.0","3"
"145","loudness_sma3_pctlrange0-2","3"
"146","loudness_sma3_meanRisingSlope","3"
"147","loudness_sma3_stddevRisingSlope","3"
"148","loudness_sma3_meanFallingSlope","3"
"149","loudness_sma3_stddevFallingSlope","3"
"150","spectralFlux_sma3_amean","3"
"151","spectralFlux_sma3_stddevNorm","3"
"152","mfcc1_sma3_amean","3"
"153","mfcc2_sma3_amean","3"
"154","mfcc2_sma3_stddevNorm","3"
"155","mfcc3_sma3_amean","3"
"156","mfcc3_sma3_stddevNorm","3"
"157","mfcc4_sma3_amean","3"
"158","mfcc4_sma3_stddevNorm","3"
"159","jitterLocal_sma3nz_amean","3"
"160","jitterLocal_sma3nz_stddevNorm","3"
"161","shimmerLocaldB_sma3nz_amean","3"
"162","shimmerLocaldB_sma3nz_stddevNorm","3"
"163","HNRdBACF_sma3nz_amean","3"
"164","HNRdBACF_sma3nz_stddevNorm","3"
"165","logRelF0-H1-H2_sma3nz_stddevNorm","3"
"166","logRelF0-H1-A3_sma3nz_amean","3"
"167","logRelF0-H1-A3_sma3nz_stddevNorm","3"
"168","F1frequency_sma3nz_amean","3"
"169","F1frequency_sma3nz_stddevNorm","3"
"170","F1bandwidth_sma3nz_amean","3"
"171","F1amplitudeLogRelF0_sma3nz_amean","3"
"172","F1amplitudeLogRelF0_sma3nz_stddevNorm","3"
"173","F2frequency_sma3nz_stddevNorm","3"
"174","F2bandwidth_sma3nz_amean","3"
"175","F2bandwidth_sma3nz_stddevNorm","3"
"176","F2amplitudeLogRelF0_sma3nz_amean","3"
"177","F2amplitudeLogRelF0_sma3nz_stddevNorm","3"
"178","F3frequency_sma3nz_stddevNorm","3"
"179","F3bandwidth_sma3nz_amean","3"
"180","F3bandwidth_sma3nz_stddevNorm","3"
"181","F3amplitudeLogRelF0_sma3nz_amean","3"
"182","F3amplitudeLogRelF0_sma3nz_stddevNorm","3"
"183","alphaRatioV_sma3nz_amean","3"
"184","alphaRatioV_sma3nz_stddevNorm","3"
"185","hammarbergIndexV_sma3nz_amean","3"
"186","hammarbergIndexV_sma3nz_stddevNorm","3"
"187","slopeV0-500_sma3nz_amean","3"
"188","slopeV0-500_sma3nz_stddevNorm","3"
"189","slopeV500-1500_sma3nz_stddevNorm","3"
"190","spectralFluxV_sma3nz_amean","3"
"191","spectralFluxV_sma3nz_stddevNorm","3"
"192","mfcc1V_sma3nz_amean","3"
"193","mfcc1V_sma3nz_stddevNorm","3"
"194","mfcc2V_sma3nz_amean","3"
"195","mfcc2V_sma3nz_stddevNorm","3"
"196","mfcc4V_sma3nz_amean","3"
"197","mfcc4V_sma3nz_stddevNorm","3"
"198","alphaRatioUV_sma3nz_amean","3"
"199","hammarbergIndexUV_sma3nz_amean","3"
"200","slopeUV0-500_sma3nz_amean","3"
"201","slopeUV500-1500_sma3nz_amean","3"
"202","loudnessPeaksPerSec","3"
"203","VoicedSegmentsPerSec","3"
"204","MeanVoicedSegmentLengthSec","3"
"205","StddevVoicedSegmentLengthSec","3"
"206","MeanUnvoicedSegmentLength","3"
"207","equivalentSoundLevel_dBp","3"
"208","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","4"
"209","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","4"
"210","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","4"
"211","F0semitoneFrom27.5Hz_sma3nz_percentile80.0","4"
"212","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","4"
"213","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","4"
"214","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","4"
"215","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","4"
"216","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","4"
"217","loudness_sma3_amean","4"
"218","loudness_sma3_percentile20.0","4"
"219","loudness_sma3_percentile50.0","4"
"220","loudness_sma3_meanRisingSlope","4"
"221","loudness_sma3_stddevRisingSlope","4"
"222","loudness_sma3_meanFallingSlope","4"
"223","loudness_sma3_stddevFallingSlope","4"
"224","spectralFlux_sma3_amean","4"
