"","features","fold"
"125","MeanVoicedSegmentLengthSec","4"
"126","StddevVoicedSegmentLengthSec","4"
"127","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","5"
"128","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","5"
"129","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","5"
"130","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","5"
"131","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","5"
"132","loudness_sma3_percentile50.0","5"
"133","loudness_sma3_meanRisingSlope","5"
"134","loudness_sma3_stddevRisingSlope","5"
"135","loudness_sma3_meanFallingSlope","5"
"136","loudness_sma3_stddevFallingSlope","5"
"137","spectralFlux_sma3_amean","5"
"138","mfcc1_sma3_amean","5"
"139","mfcc2_sma3_amean","5"
"140","mfcc3_sma3_amean","5"
"141","jitterLocal_sma3nz_stddevNorm","5"
"142","shimmerLocaldB_sma3nz_amean","5"
"143","shimmerLocaldB_sma3nz_stddevNorm","5"
"144","HNRdBACF_sma3nz_amean","5"
"145","HNRdBACF_sma3nz_stddevNorm","5"
"146","F1bandwidth_sma3nz_stddevNorm","5"
"147","F2bandwidth_sma3nz_stddevNorm","5"
"148","F3frequency_sma3nz_stddevNorm","5"
"149","F3bandwidth_sma3nz_amean","5"
"150","F3bandwidth_sma3nz_stddevNorm","5"
"151","slopeV0-500_sma3nz_amean","5"
"152","slopeV500-1500_sma3nz_amean","5"
"153","spectralFluxV_sma3nz_amean","5"
"154","spectralFluxV_sma3nz_stddevNorm","5"
"155","mfcc1V_sma3nz_amean","5"
"156","mfcc2V_sma3nz_amean","5"
"157","mfcc4V_sma3nz_amean","5"
"158","slopeUV0-500_sma3nz_amean","5"
"159","slopeUV500-1500_sma3nz_amean","5"
"160","loudnessPeaksPerSec","5"
"161","VoicedSegmentsPerSec","5"
