"","features","fold"
"125","spectralFluxUV_sma3nz_amean","2"
"126","loudnessPeaksPerSec","2"
"127","VoicedSegmentsPerSec","2"
"128","MeanVoicedSegmentLengthSec","2"
"129","StddevVoicedSegmentLengthSec","2"
"130","StddevUnvoicedSegmentLength","2"
"131","F0semitoneFrom27.5Hz_sma3nz_stddevNorm","3"
"132","F0semitoneFrom27.5Hz_sma3nz_percentile20.0","3"
"133","F0semitoneFrom27.5Hz_sma3nz_percentile50.0","3"
"134","F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2","3"
"135","F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope","3"
"136","F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope","3"
"137","F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope","3"
"138","F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope","3"
"139","loudness_sma3_amean","3"
"140","loudness_sma3_stddevNorm","3"
"141","loudness_sma3_percentile20.0","3"
"142","loudness_sma3_percentile80.0","3"
"143","loudness_sma3_meanRisingSlope","3"
"144","loudness_sma3_stddevRisingSlope","3"
"145","loudness_sma3_meanFallingSlope","3"
"146","loudness_sma3_stddevFallingSlope","3"
"147","spectralFlux_sma3_amean","3"
"148","spectralFlux_sma3_stddevNorm","3"
"149","mfcc1_sma3_amean","3"
"150","mfcc1_sma3_stddevNorm","3"
"151","mfcc2_sma3_amean","3"
"152","mfcc2_sma3_stddevNorm","3"
"153","mfcc3_sma3_amean","3"
"154","mfcc3_sma3_stddevNorm","3"
"155","mfcc4_sma3_amean","3"
"156","jitterLocal_sma3nz_amean","3"
"157","jitterLocal_sma3nz_stddevNorm","3"
"158","shimmerLocaldB_sma3nz_amean","3"
"159","shimmerLocaldB_sma3nz_stddevNorm","3"
"160","HNRdBACF_sma3nz_amean","3"
"161","HNRdBACF_sma3nz_stddevNorm","3"
"162","logRelF0-H1-H2_sma3nz_amean","3"
"163","logRelF0-H1-H2_sma3nz_stddevNorm","3"
"164","logRelF0-H1-A3_sma3nz_amean","3"
"165","logRelF0-H1-A3_sma3nz_stddevNorm","3"
"166","F1frequency_sma3nz_stddevNorm","3"
"167","F1bandwidth_sma3nz_amean","3"
"168","F1bandwidth_sma3nz_stddevNorm","3"
"169","F1amplitudeLogRelF0_sma3nz_amean","3"
"170","F2frequency_sma3nz_stddevNorm","3"
"171","F2bandwidth_sma3nz_amean","3"
"172","F2bandwidth_sma3nz_stddevNorm","3"
